n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
11,0.8204169301525837,1.7514823483231776,2.1600177750932628,ADAPTIVE,NA,0.5136476560064385,1.976543812081958,"[1.578295630712853, 0.4751071508898478]",-0.36447300025072776,0.0001404596301209926,-12.946597218397299,True
60,0.8445047808429513,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.578763494450105, 0.2849370130670281]",-0.5205026299793731,0.30015184555212343,-13.136299492482866,True
60,0.8437886446541634,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.386964258711102, 0.21216487024021236]",-0.5993670046267398,0.45573490802274674,-13.400870871048685,True
60,0.8478128264938365,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.6825370606413315, 0.18636088619168212]",-0.5335465128609896,0.4364409023285335,-13.131102053166986,True
60,0.8453677072693676,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.8499708733038522, 0.10707386712379585]",-0.44873326909492234,0.5519164645289707,-13.042955259572352,True
60,0.7796251586667597,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.3476513293760128, 0.36602324420248245]",-0.4691015808385176,0.25672828836800354,-13.286325426421504,True
60,1.3834203485338241,1.5246323348221678,2.385889641046652,ADAPTIVE,NA,0.5699638294463174,1.0307691412950564,"[1.484747758488264, 0.17797749436873622]",-0.6136017627634545,0.48574831417466124,-13.337274747142999,True
60,0.8961650289037101,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.5960648941670563, 0.058550359365246996]",-0.6206258851381531,0.656549826876264,-13.345384746467698,True
60,0.8937728544639059,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.22100949699522, 0.25004105929858134]",-0.5306735064322097,0.4446974919576872,-13.528949443706198,True
60,0.8874354696750816,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.1995189669944828, 0.23781410975695527]",-0.5304043241888122,0.46473746472762445,-13.562666923248562,True
60,0.8841000586674841,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.0898496456443363, 0.1733911551026479]",-0.5119242528968696,0.5610297110535171,-13.736759199253015,True
60,0.8975457255950969,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.7027963622597804, 0.3783763994195547]",-0.4011853563652981,0.1057020435034286,-12.918827238320665,True
60,1.4,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.4300359714767652, 0.0008832922307910884]",-0.6720247687344312,0.7487368603366428,-13.569080736292443,True
60,0.481398964468957,1.5754136969018646,2.3686961121179957,STATIC,6641.070471767786,NA,NA,"[1.6020118936828176, 0.4679849639279697]",-0.3651286425954222,0.0002825217226681831,-12.930003142389213,True
11,0.4247664633961985,1.5378534118301332,2.0652091457119854,STATIC,4888.4557900769705,NA,NA,"[1.5992479983412622, 0.4689373121929478]",-0.365005081367866,5.294212789663799e-05,-12.93181468946579,True
50,1.37619424443678,1.9921468689176909,2.415905965508768,ADAPTIVE,NA,0.5114917652020156,1.5122076813079561,"[1.748680841127127, 0.17462626880489607]",-0.4987388826203763,0.4446343893833625,-13.076692890067976,True
59,1.3318531143254324,1.977410556293067,2.1076626640730303,ADAPTIVE,NA,0.5017691925170534,1.1329392847312518,"[0.0, 0.0]",nan,0.75,-15.0,True
59,1.2550974293148105,1.5800342086881674,2.416256257495755,ADAPTIVE,NA,0.9969871378619548,1.9994973086256551,"[1.2338292154434771, 0.42748381244193]",-0.37604970583683917,0.22255798307998698,-13.338686972114592,True
